OTU ID	AJ414	AP114	AS114	AT414	JJ114	JJ415	JJ515	JP315	JP414	JP515	JS115	JS415	JT115	JT314	JT415	OJ415	OJ514	OJ515	OJ615	OP315	OP515	OP614	OP615	OS115	OS214	OS415	OS615	OT115	OT414	OT415	OT515	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
OTU268	0	0	0	32	0	0	0	0	1	0	0	0	10	32	1	0	0	0	0	0	0	1	0	0	0	0	0	1	13	1	4	US|0.6491|FR682252|SH020455.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU396	28	3	0	1	6	2	2	0	0	0	0	0	15	7	17	2	2	2	2	1	0	0	4	0	0	0	0	0	0	0	2	GS|98.4|KF221342|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU459	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	35	18	26	11	GS|97.5|HM363148|SH217440.07FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Graphiaceae	-	-	-	-	-	-	-	Unassigned	-
OTU292	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	42	13	22	16	SS|1.0000|GU129987|SH016279.07FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Ophiostomatales,f:Ophiostomataceae,g:Graphilbum	Ophiostomataceae	9	Pathotroph	Plant Pathogen	Probable	Microfungus	Blue-Staining	At least most species are transmitted via insect vectors, with mycelial colonies developing in bark-boring beetle galleries and spreading through the vascular system; they are highly specific to their beetle vectors. In some cases spores and mycelium are transmitted in specialized organs, termed mycangia (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688
OTU347	1	0	0	33	0	1	6	0	0	0	0	0	13	6	3	0	5	1	0	0	0	0	0	0	0	0	0	2	18	1	4	US|0.5887|KF800218|SH017709.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU382	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	3	0	3	77	4	1	0	0	0	0	US|0.9931|KC965667|SH026982.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU405	0	2	1	2	1	0	0	0	2	0	0	1	3	21	1	0	0	0	0	0	0	0	0	1	40	2	0	1	15	1	0	US|0.8200|MF554798|SH220112.07FU;k:Fungi,p:Basidiomycota	-	-	-	-	-	-	-	Unassigned	-
OTU283	8	2	0	0	12	4	6	0	1	0	0	0	0	4	0	7	41	3	3	0	0	0	0	0	0	0	0	2	0	0	0	GSL|100.0|JX534288|SH219674.07FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Gibberella,s:Gibberella acuminata	Gibberella	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU562	12	14	0	4	0	2	4	1	1	0	1	0	11	7	1	1	1	1	0	0	0	1	3	1	1	0	0	0	25	0	1	GS|100.0|AY843154|SH205786.07FU;k:Fungi,p:Ascomycota,c:Arthoniomycetes,o:Lichenostigmatales,f:Phaeococcomycetaceae,g:Phaeococcomyces,s:Phaeococcomyces nigricans	Phaeococcomyces	13	Saprotroph	Undefined Saprotroph	Probable	Facultative Yeast	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU394	6	6	2	10	13	0	0	0	7	0	0	0	0	10	0	0	9	0	0	0	0	4	0	0	5	0	0	0	21	0	0	US|0.7033|None;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU533	0	5	0	1	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	1	79	0	0	0	0	0	0	0	0	0	US|0.9928|JN905635|SH212425.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU308	3	1	0	19	0	0	0	0	0	0	1	0	3	15	2	0	3	0	0	0	0	5	0	1	14	3	0	2	17	2	0	GS|99.5|KF274374|SH016538.07FU;k:Fungi,p:Ascomycota,c:Leotiomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU294	0	1	0	9	3	5	4	0	0	0	0	0	21	9	11	0	3	3	0	0	0	0	0	0	0	0	0	3	17	0	1	GS|100.0|FR799183|SH217657.07FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales,f:Parmeliaceae,g:Evernia,s:Evernia prunastri	Parmeliaceae	9	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	Lichenized with green algae, mostly growing on tree bark and rocks (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU333	0	0	0	22	0	0	0	0	0	0	0	0	20	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	3	US|0.9965|KF222402|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU1905	10	0	0	2	1	0	1	0	0	0	0	0	0	2	0	1	4	1	3	0	0	0	0	0	0	1	0	27	3	6	27	GS|99.4|AB038117|SH194780.07FU;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium	Cystobasidium	13	Pathotroph	Fungal Parasite	Highly Probable	Facultative Yeast	NULL	NULL	Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego
OTU278	0	0	0	33	0	0	0	0	0	0	0	0	2	5	0	0	2	0	0	0	0	2	0	0	0	0	0	0	44	0	0	SS|0.7500|AB190391|SH191369.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU392	0	0	0	0	0	0	0	0	0	0	0	0	1	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	GS|99.0|KM504452|SH495752.07FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	-	-	-	-	-	-	-	Unassigned	-
OTU446	28	0	0	0	0	1	2	0	3	0	0	0	0	4	0	5	26	6	3	0	0	0	0	0	0	0	0	2	6	1	1	GS|99.6|KX611040|SH182997.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU302	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	24	2	0	0	0	0	0	0	0	0	0	3	53	0	0	US|0.0772|KF221519|SH221826.07FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Gloeocystidiellaceae,g:Gloeocystidiellum	Gloeocystidiellum	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU321	30	0	0	1	13	4	0	0	1	0	0	2	1	2	0	3	3	4	0	1	0	1	1	4	0	1	0	4	1	4	6	GS|100.0|UDB026608|SH203801.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Vishniacozyma	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Possible	Tremelloid-Yeast	NULL	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
OTU355	0	10	0	0	0	0	0	1	62	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	GS|99.5|HM589238|SH191385.07FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta	Coniochaeta	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Damm U, et al. 2010. Persoonia 24:60-80; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); Irinyi L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]
OTU361	0	8	0	6	0	0	0	0	0	0	0	0	0	37	1	0	0	2	4	0	0	0	0	0	0	0	0	0	20	0	9	GS|100.0|EU563928|SH216361.07FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula,s:Rhodotorula mucilaginosa	Rhodotorula	13	Pathotroph-Saprotroph	Animal Endosymbiont-Undefined Saprotroph	Probable	NULL	NULL	Opportunistic human pathogen	http://www.cdc.gov
OTU259	0	1	0	23	0	0	0	0	2	0	0	0	39	4	13	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	US|0.9965|KU559787|SH493965.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU481	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	59	1	2	0	0	0	0	0	1	0	0	4	9	0	2	GS|99.2|KF222016|SH221826.07FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Peniophoraceae,g:Peniophora	Peniophora	13	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Probable	Corticioid	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU328	1	1	0	0	12	4	4	0	0	0	0	0	0	57	0	0	3	2	0	0	1	0	0	0	0	0	0	0	1	0	0	GS|97.8|LC204972|SH220112.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lentitheciaceae	-	-	-	-	-	-	-	Unassigned	-
OTU303	0	1	1	11	0	0	1	1	1	0	1	0	22	14	8	0	0	0	1	0	0	2	0	0	0	0	0	1	16	1	3	GS|98.8|MF347921|SH220112.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Teratosphaeriaceae	-	-	-	-	-	-	-	Unassigned	-
OTU305	0	0	0	2	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	67	US|0.2851|KF297211|SH026686.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU315	0	0	0	17	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	US|0.7736|KY768057|SH223202.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU351	4	0	1	3	4	1	2	2	0	0	0	0	16	14	26	1	1	1	0	0	0	0	0	0	0	0	0	2	0	1	6	GS|100.0|KF221778|SH221826.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales	-	-	-	-	-	-	-	Unassigned	-
OTU323	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|97.0|LT548281|SH491220.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Rasamsonia,s:Rasamsonia columbiensis	Rasamsonia	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU424	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	2	0	0	0	0	0	0	0	0	0	0	16	50	5	3	GS|99.6|JX136232|SH206594.07FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Polyporaceae,g:Dichomitus	Polyporaceae	9	Saprotroph	Wood Saprotroph	Probable	Polyporoid	Brown Rot-White Rot	Lignicolous, causing brown or white rot, mostly of broadleaved trees (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU698	2	7	0	12	14	9	7	0	1	0	0	0	4	2	3	7	0	0	1	0	0	0	1	0	0	0	0	4	1	6	3	GSL|100.0|AJ428167|SH186594.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae	Didymellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
OTU329	0	2	0	2	0	0	0	0	0	0	2	2	1	0	0	0	0	0	1	0	0	3	0	9	39	22	1	0	0	0	0	GS|100.0|FR682254|SH208579.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	-	-	-	-	-	-	-	Unassigned	-
OTU391	0	0	0	12	0	0	0	0	0	0	0	0	12	10	2	0	0	0	0	0	0	1	0	0	0	0	0	2	42	0	3	US|0.5739|JN904197|SH212425.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU561	0	7	0	4	2	1	0	1	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	56	0	1	GS|97.2|KF800345|SH205786.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU325	0	0	0	0	0	33	17	0	0	0	0	0	2	0	0	8	0	7	6	0	0	0	1	0	0	0	0	3	0	5	1	GS|97.8|KX611003|SH489396.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae	Pleosporaceae	9	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; David AS, et al. 2016. Microbial Ecology 71:912-926; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]
OTU296	6	1	0	0	13	3	10	0	0	0	0	0	0	5	2	13	14	7	6	0	0	0	0	0	1	0	0	0	1	1	0	GS|100.0|AY843135|SH219835.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Botryosphaeriales,f:Planistromellaceae,g:Ramimonilia,s:Ramimonilia apicalis	-	-	-	-	-	-	-	Unassigned	-
OTU322	0	4	0	8	0	0	0	2	0	0	0	2	2	0	3	0	0	0	1	0	0	3	2	0	0	0	0	0	51	1	4	US|0.5395|MF965846|SH193471.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU383	2	0	0	2	1	7	7	0	0	1	0	0	2	6	1	17	14	14	9	0	0	0	0	0	0	0	0	0	0	0	0	US|0.3899|GQ510484|SH202968.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU743	0	2	0	18	28	7	1	0	3	1	0	2	4	3	2	0	1	3	0	1	0	1	1	0	0	2	2	0	0	0	1	GS|98.9|KC965669|SH027346.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales	-	-	-	-	-	-	-	Unassigned	-
OTU1712	47	0	0	0	18	0	12	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	US|0.9754|KT965049|SH205786.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU2035	0	0	0	7	9	8	8	0	4	0	0	0	2	19	1	5	9	1	2	0	1	0	0	0	2	0	0	0	3	0	2	GS|99.5|FJ478093|SH212862.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Latorua,s:Latorua caligans	-	-	-	-	-	-	-	Unassigned	-
OTU301	0	4	0	25	0	7	3	0	0	0	0	0	4	6	1	0	0	0	1	0	0	0	1	0	0	0	0	0	20	5	4	GS|100.0|U38625|SH220701.07FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae,g:Tricharina,s:Tricharina praecox	Tricharina	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	Most if not all of the species in this genus appear to be saprotrophic, although at one point some species were thought to be ectomycorrhizal. The history can be traced back: Rinaldi et al. (2008) cited Agerer (2006), who cited Ingleby et al. (1990), a report that had been based upon a description of ECM formed by Tricharina gilva. The report of Ingleby et al. (1990) was actually based upon a misidentification, as Egger (1996) sequenced dried ascocarp material obtained from Kevin Ingleby and found it to be Wilcoxina mikolae, which is known to form E-strain ECM.	 Egger KN. 1996. Canadian Journal of Botany 74:773-779; Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33:1-45 (ECM); Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html (ECM)
OTU324	5	0	0	2	3	9	2	1	2	0	0	0	5	24	2	4	4	0	2	0	0	0	1	0	0	0	0	7	4	2	2	GS|100.0|JN383491|SH215496.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria leptinellae	Alternaria	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	Soft Rot	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:125688
OTU406	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7	59	7	0	0	0	0	0	US|0.3899|KF221354|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU437	11	0	0	1	11	13	2	0	0	0	0	0	0	1	0	3	26	0	0	9	0	0	0	0	0	0	0	1	0	0	3	GS|99.1|JX043152|SH005840.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU443	3	4	0	1	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	1	1	31	0	0	28	2	0	0	0	1	0	US|0.9915|FJ554134|SH021815.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU314	7	1	3	0	0	3	0	0	9	0	0	0	1	2	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	GSL|100.0|KC341719|SH215928.07FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae,g:Thelebolus,s:Thelebolus microsporus	Thelebolus	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU393	0	0	0	0	0	2	2	1	0	6	1	2	2	0	1	4	0	6	7	5	1	0	6	7	0	6	3	3	0	5	9	US|0.7713|None;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU458	0	0	0	0	0	0	2	0	0	7	7	2	4	0	0	3	0	12	7	3	2	0	2	3	0	5	0	6	0	6	8	SS|1.0000|EU480152|SH198060.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU422	0	0	0	6	2	0	0	0	7	0	0	0	1	11	1	0	18	0	0	0	1	7	0	1	5	4	1	0	12	0	1	GS|99.5|JX174872|SH199120.07FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Collophora	Collophora	13	Pathotroph	Plant Pathogen	Highly Probable	Microfungus	NULL	Pathotroph isolated from necrosis in Prunus wood (Damm et al. 2010)	Damm U, et al. 2010. Persoonia 24:60-80; Tedersoo L, et al. 2014. Science 346:1256688
OTU546	0	3	2	0	0	0	0	0	0	0	7	2	1	0	0	0	1	0	0	0	0	5	0	9	40	6	0	0	1	1	0	US|0.7825|HE977549|SH181879.07FU;k:Fungi,p:Basidiomycota	-	-	-	-	-	-	-	Unassigned	-
OTU608	0	0	0	0	0	6	0	0	0	0	0	0	1	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	SS|0.6300|GU170842|SH210507.07FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecideales,f:Lecideaceae,g:Lecidea	Lecidea	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)
OTU350	0	5	3	2	3	1	3	1	13	0	0	0	0	1	7	0	0	0	0	0	0	2	0	2	3	0	0	1	28	0	2	SS|0.5500|DQ491510|SH194391.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU506	0	2	1	6	0	0	0	1	0	0	0	0	10	13	3	0	0	0	0	0	0	1	0	1	6	0	0	2	27	3	1	US|0.9830|KU164637|SH021477.07FU;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU516	0	2	0	7	0	0	0	0	1	0	0	0	5	1	2	4	5	1	2	0	0	0	0	0	0	0	0	10	25	9	3	US|0.6948|KF221713|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU540	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	5	0	0	0	0	0	0	0	0	0	0	28	26	9	3	SS|0.4600|FM178346|SH176682.07FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU319	1	6	0	15	0	0	4	0	0	1	0	1	13	8	0	0	15	0	0	0	7	0	0	1	1	0	0	0	2	0	0	GS|97.3|HG764521|SH202167.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU375	1	0	0	0	0	4	2	4	0	7	1	1	1	0	2	6	0	4	5	8	3	0	0	4	0	4	4	5	0	4	5	US|0.7736|None;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU451	1	0	0	0	8	21	10	0	0	0	0	0	3	5	2	2	5	7	5	0	0	0	1	0	0	0	0	1	3	0	1	GS|100.0|JF945204|SH183422.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU439	13	4	0	1	34	5	7	0	3	0	0	0	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|98.4|JN905883|SH212425.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU490	0	0	0	1	8	0	0	0	0	0	0	0	1	1	0	4	35	7	1	0	0	0	0	0	0	0	0	7	7	0	2	US|0.9998|EU118651|SH188985.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU336	3	11	0	5	4	0	2	1	11	0	0	0	2	1	1	0	0	0	0	0	0	23	1	0	1	0	0	0	7	0	0	US|0.5526|KF221999|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU370	0	14	0	1	0	5	0	1	0	1	0	0	1	1	0	0	5	0	0	2	2	23	0	0	14	1	0	1	1	0	0	SS|0.7500|MF331432|SH220112.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU348	0	0	0	5	26	5	15	0	0	0	0	0	3	7	0	3	1	5	1	0	0	0	0	0	0	0	0	0	1	0	0	GS|100.0|KX912042|SH193471.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Thermomyces,s:Thermomyces lanuginosus	Thermomyces	13	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	Possible	NULL	NULL	Host - Cannabaceae, Moraceae, Oleaceae	Costa IPMW, et al. 2012. Mycotaxon 119:26
OTU310	0	1	0	7	0	0	0	1	8	0	0	0	36	7	1	0	0	0	0	0	0	3	0	0	1	0	0	0	6	0	1	US|0.5535|AF042435|SH222137.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU525	0	0	0	67	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.7800|FJ695215|SH012800.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU541	0	13	0	2	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	47	0	0	0	0	0	0	4	1	0	GS|100.0|KF222435|SH221826.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU299	2	0	0	1	0	1	0	1	0	0	0	0	1	48	1	0	6	0	0	0	0	0	0	0	0	0	0	1	9	0	0	GS|98.8|KM104075|SH213907.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleraceae,g:Genolevuria	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Possible	Tremelloid-Yeast	NULL	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
OTU418	0	31	0	2	0	3	0	1	10	1	0	0	3	2	0	0	0	1	0	1	3	9	1	0	1	1	0	0	1	0	0	GSL|100.0|KJ565855|SH202343.07FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales,f:Parmeliaceae,g:Letharia,s:Letharia vulpina	Letharia	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)
OTU339	0	0	0	29	0	0	0	0	6	0	0	0	13	1	9	0	0	0	0	0	0	0	0	0	0	0	0	3	7	1	2	US|0.6491|AF540546|SH005017.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU491	0	0	0	14	4	0	0	0	0	0	0	0	5	14	3	0	0	0	0	0	0	1	0	0	0	0	0	0	27	0	3	US|0.7379|GU931740|SH017352.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU596	0	0	0	1	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	63	0	0	SS|0.7700|AF189717|SH024834.07FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes	-	-	-	-	-	-	-	Unassigned	-
OTU603	1	0	0	9	9	9	5	0	3	1	0	0	1	6	0	7	6	1	2	0	0	0	0	0	0	1	0	4	6	0	0	US|0.9890|EU480020|SH199326.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU572	0	20	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	22	1	13	7	GS|100.0|AY761155|SH190096.07FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Debaryomycetaceae,g:Yamadazyma,s:Yamadazyma scolyti	Saccharomycetales	7	Saprotroph	Undefined Saprotroph	Possible	Yeast	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
OTU343	0	1	0	0	0	0	0	0	0	0	0	0	45	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	GS|99.4|KF221671|SH221826.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU399	0	0	4	3	0	0	0	0	2	0	1	3	0	0	0	0	1	0	1	0	0	2	0	7	39	6	0	0	1	0	0	US|0.6916|KF274441|SH472946.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU457	0	0	0	1	0	7	7	0	12	0	1	0	7	29	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	SS|1.0000|JN906151|SH212425.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
